Número de neurônios, Instâncias corretamente classificadas,Erro absoluto médio , Desvio padrão  ,Iterações
"(9)",0.92647058823529416,0.056822641394079575,0.010273881167118675,1.2
"(18)",0.92352941176470582,0.058812836144265156,0.012980763726186688,1.0
"(5, 5)",0.92941176470588227,0.05766626301701918,0.016369387591360803,1.0
"(5, 9)",0.92352941176470582,0.058221747734034726,0.017794395479172637,1.1000000000000001
"(9, 9)",0.92352941176470582,0.057926343700481067,0.01628053656246924,1.0
"(18, 18)",0.9323529411764705,0.052391621518214436,0.015092360131484022,1.2
"(9, 9, 9)",0.94264705882352939,0.048585216804190756,0.014171491172367981,1.3999999999999999
"(18, 18, 18)",0.94264705882352939,0.049152105131484269,0.017719288790410157,1.0
"(9, 18, 9)",0.93382352941176472,0.054755929245539646,0.017224446727460145,1.3
"(18, 9, 18)",0.93382352941176472,0.057251917761340532,0.021290073517554922,1.2
